Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"04013104217","14000US04013104217","Census Tract 1042.17, Maricopa County, Arizona","Census Tract 1042.17, Maricopa County, Arizona","az","140","00","ACSSF","0003912",,,,,"04","013",,,,"104217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5547,5547,5575.247,0.994933567259771,5547,2528,3019,5547,296,425,279,293,536,717,1018,541,644,335,250,213,5547,4729,371,26,226,0,71,124,2020,1190,965,225,57,168,830,324,506,57910,2103,2020,1445,575,5072,611,706,1317,3755
"04013104218","14000US04013104218","Census Tract 1042.18, Maricopa County, Arizona","Census Tract 1042.18, Maricopa County, Arizona","az","140","00","ACSSF","0003913",,,,,"04","013",,,,"104218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4146,4146,4185.488,0.9905655933541,4146,1943,2203,4146,164,142,438,267,706,703,524,585,341,121,93,62,4146,3317,150,191,226,111,100,51,1630,1025,674,351,189,162,605,285,320,58261,1722,1630,837,793,4137,495,495,990,3147
"04013104219","14000US04013104219","Census Tract 1042.19, Maricopa County, Arizona","Census Tract 1042.19, Maricopa County, Arizona","az","140","00","ACSSF","0003914",,,,,"04","013",,,,"104219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2985,2985,3021.713,0.98785013675739,2985,1616,1369,2985,118,236,193,118,188,510,417,398,493,239,54,21,2985,2645,5,17,74,0,150,94,1030,790,510,280,175,105,240,158,82,70473,1077,1030,866,164,2985,261,423,684,2301
"04013104221","14000US04013104221","Census Tract 1042.21, Maricopa County, Arizona","Census Tract 1042.21, Maricopa County, Arizona","az","140","00","ACSSF","0003915",,,,,"04","013",,,,"104221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5904,5904,5951.497,0.992019268042941,5904,2844,3060,5904,507,371,322,254,605,862,652,914,800,419,118,80,5904,4819,244,0,302,0,142,397,2017,1551,1112,439,173,266,466,208,258,64026,2191,2017,1544,473,5824,699,807,1506,4318
"04013104222","14000US04013104222","Census Tract 1042.22, Maricopa County, Arizona","Census Tract 1042.22, Maricopa County, Arizona","az","140","00","ACSSF","0003916",,,,,"04","013",,,,"104222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6085,6085,6326.035,0.961897892963211,6085,3053,3032,6085,534,390,410,373,545,857,851,963,784,214,150,14,6085,5050,270,86,0,0,221,458,2208,1584,938,646,253,393,624,323,301,62992,2337,2208,1343,865,6085,703,731,1434,4651
"04013104223","14000US04013104223","Census Tract 1042.23, Maricopa County, Arizona","Census Tract 1042.23, Maricopa County, Arizona","az","140","00","ACSSF","0003917",,,,,"04","013",,,,"104223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,1977,2067.871,0.956055780953425,1977,919,1058,1977,84,147,132,122,177,177,229,290,414,155,50,0,1977,1688,95,4,48,0,117,25,634,579,520,59,13,46,55,27,28,100909,645,634,582,52,1977,23,121,144,1833
"04013104224","14000US04013104224","Census Tract 1042.24, Maricopa County, Arizona","Census Tract 1042.24, Maricopa County, Arizona","az","140","00","ACSSF","0003918",,,,,"04","013",,,,"104224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6135,6135,6242.448,0.982787565038911,6135,3217,2918,6135,521,381,322,155,901,928,789,937,665,174,272,90,6135,5218,26,36,420,0,283,152,2311,1495,1130,365,143,222,816,344,472,62306,2641,2311,1340,971,5973,667,1006,1673,4300
"04013104225","14000US04013104225","Census Tract 1042.25, Maricopa County, Arizona","Census Tract 1042.25, Maricopa County, Arizona","az","140","00","ACSSF","0003919",,,,,"04","013",,,,"104225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4131,4131,4320.619,0.956112924075324,4131,1991,2140,4131,128,251,307,162,379,626,383,714,605,233,206,137,4131,3698,179,22,49,0,183,0,1378,1014,843,171,73,98,364,175,189,62063,1450,1378,1001,377,4100,437,180,617,3483
"04013104226","14000US04013104226","Census Tract 1042.26, Maricopa County, Arizona","Census Tract 1042.26, Maricopa County, Arizona","az","140","00","ACSSF","0003920",,,,,"04","013",,,,"104226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787,4787,4845.242,0.987979480986012,4787,2550,2237,4787,156,448,356,232,609,599,710,846,403,269,143,16,4787,4249,63,62,9,0,118,286,1828,1220,840,380,90,290,608,258,350,55703,1930,1828,1133,695,4787,592,713,1305,3482
"04013104227","14000US04013104227","Census Tract 1042.27, Maricopa County, Arizona","Census Tract 1042.27, Maricopa County, Arizona","az","140","00","ACSSF","0003921",,,,,"04","013",,,,"104227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415,2415,5777.998,0.417964870879711,2415,1153,1262,2415,177,112,90,10,373,374,206,405,239,69,115,245,2415,1931,106,0,41,0,245,92,790,624,524,100,39,61,166,72,94,66048,858,790,549,241,2415,287,131,418,1997
